Representative's Name,GitHub Handle,Organization,Voting Contact,Membership Status
Simon MacDonald,macdonst,Adobe,,Active
Brian Scott,bscott,Adobe,yes,Active
Baubak Gandomi,baubakg,Adobe,,Active
Kevin Chen,kevincatwork,Adobe,,Active
Greg Haynes,,Autodesk,yes,Active
Angie Byron,webchick,Aiven,,Active
Josep Prat,jlprat,Aiven,yes,Active
Floor Drees,FloorD,Aiven,,Active
Ahmed Sobeh,ahmedsobeh,Aiven,,Active
Kevin Webber,rocketpages,Aiven,,Active
Jonas van den Bogaard,Jonasvdbo,Alliander,yes,Active
Nico Rikken,nicorikken,Alliander,,Active
Nithya Ruff,nruff,Amazon,yes,Active
Nathalie C. Chan King Choy,nathalie-ckc,AMD,yes,Active
Tomas Evensen,tomasevensen,AMD,,Active
Jenny Thayer,jrburcio,Apple,,Active
Tim Kolecke,kolecke,Apple,yes,Active
Federico Bucci,federicobucchi,Apple,,Active
Megan Knight,businesscasualkesha,Arm,yes,Active
Andrew Wafaa,awafaa,Arm,,Active
Chris Lloyd-Jones,Sealjay,Avanade,yes,Active
Zhongyi Tan,,Baidu,yes,Active
Sounil Yu,,Bank of America,,Active
Alyssa Wright,awright,Bloomberg,yes,Active
Michael Moss,michaelmoss,Bloomberg,,Active
Stephen Augustus,justaugustus,Bloomberg,,Active
Chris Hoeppler,choeppler,Bosch,yes,Active
Hans Malte Kern,,Bosch,,Active
Marcel Kurzmann,mkurzman,Bosch,,Active
Benjamin VanEvery,asheepapart,Box,,Active
Jaxin Shan,jeffwan,ByteDance,,Active
Le Ma,lema0601,ByteDance,yes,Active
Yuchen Jia,,CAICT,yes,Active
Zhiqiang Yu,zhiqiang-yu,China Mobile,yes,Active
Natali Vlatko,natalisucks,Cisco,yes,Active
Charles Eckel,eckelcu,Cisco,,Active
Severin Neumann,svrnm,Cisco,,Active
Michael Riskin,riskin,Cisco,,Active
Karolyn Maynard,KMay246,Comcast,yes,Active
Fei Wan,fwan2000,Comcast,,Active
Bipul Kumar Kuri,bipulkkuri,Comcast,,Active
Gale McCommons,galemccommons,Comcast,,Active
Anusha Pavuluri,anu1025sha,Comcast,,Active
Jeremy Garcia,jeremy-lq,Datadog,yes,Active
Justin Mclean,justinmclean,Datastrato,yes,Emeritus
Cornelius Schumacher,cornelius,DB Systel,yes,Active
Yunbo Wang,,Didi,yes,Active
Luke Faraone,lfaraone,Dropbox,,Emeritus
David Hirsch,DavidPHirsch,Dynatrace,yes,Active
,,eBay,yes,Active
